,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
3459,3459,DGA,1,2,13,5,60,920,920,,,,,,4,3,0.0,1,920,0,920,0,0,,3
3464,3464,DTA,1,2,13,5,478,553,553,0.172898510454892,0.492029591941283,0.3698823855502649,0.546342355082598,0.547342355082801,3,1,1.44,0,553,0,553,0,0,0.35139860139860263,1
3469,3469,DTA,1,2,13,5,157,570,570,0.168141875969869,0.396937670668596,0.338587065309189,0.689284036554425,0.68028403655441,2,2,1.44,0,570,0,570,0,0,0.42359767891682665,2
3475,3475,BTA,1,2,13,5,169,929,929,0.176247688263195,0.462413289636769,0.392924953762392,1.23701726727702,1.24501726727729,2,2,10150.0,0,929,0,929,0,0,0.3811475409836072,2
3476,3476,BDA,1,2,13,5,372,632,632,0.160454884655382,0.4030323480713929,0.368919892278516,0.860102298237904,0.8611022982381079,3,2,23.66,1,632,0,632,0,0,0.3981191222570529,2
3477,3477,DCA,1,2,13,5,775,977,977,0.17952759141694602,0.409066440442899,0.38384708831528097,1.02219940849944,1.02119940849923,4,2,0.19,0,977,0,977,0,0,0.4388714733542313,2
3478,3478,DBA,1,2,13,5,171,608,608,0.16584929873756,0.494983216335295,0.401799847456975,0.66818553473058,0.667185534730376,5,2,0.05,1,608,0,608,0,0,0.3350604490500864,2
3489,3489,DPA,1,2,13,5,534,658,658,,,,,,4,1,3.51,0,658,0,658,0,0,,1
3493,3493,GCA,1,2,13,5,509,1203,1203,,,,,,2,3,0.0,0,1203,0,1203,0,0,,3
3494,3494,GTA,1,2,13,5,238,816,816,,,,,,3,3,47.64,0,816,0,816,0,0,,3
3499,3499,DTA,1,2,13,5,207,1166,1166,0.17858195848982394,0.397109881378687,0.373142302739264,1.14763255647927,1.14963255647922,2,3,1.44,0,1166,0,1166,0,0,0.4497041420118349,3
3513,3513,GDA,1,2,13,5,205,1411,1411,0.16167119424695905,0.468600263527989,0.367658350368719,0.8628275664414029,0.8648275664413559,4,1,8.06,1,1411,0,1411,0,0,0.3450087565674247,1
3517,3517,GDA,1,2,13,5,253,959,959,,,,,,3,2,8.06,1,959,0,959,0,0,,2
3518,3518,BGA,1,2,13,5,243,583,583,,,,,,4,2,1.11,1,583,0,583,0,0,,2
3525,3525,DBA,1,2,13,5,509,1014,1014,,,,,,5,3,0.05,1,1014,0,1014,0,0,,3
3528,3528,GPA,1,2,13,5,187,779,779,,,,,,2,2,7.98,0,779,0,779,0,0,,2
3531,3531,DPA,1,2,13,5,798,916,916,0.18118527195894504,0.380339331219604,0.36237054391789,0.9346489140041032,0.93264891400415,5,2,3.51,0,916,0,916,0,0,0.476377952755905,2
3537,3537,GDA,1,2,13,5,238,592,592,,,,,,5,3,8.06,1,592,0,592,0,0,,3
3541,3541,BTA,1,2,13,5,194,657,657,0.198206791111768,0.5040115545413529,0.39767203804011897,0.6841707053167472,0.6881707053166529,3,3,10150.0,0,657,0,657,0,0,0.39325842696629215,3
3546,3546,BDA,1,2,13,5,230,663,663,0.172644129200452,0.400979912981693,0.326492324979886,0.7382546394964721,0.7372546394962679,2,3,23.66,1,663,0,663,0,0,0.4305555555555576,3
3547,3547,GBA,1,2,13,5,21,581,581,,,,,,3,3,7.04,1,581,0,581,0,0,,3
3561,3561,BGA,1,2,13,5,555,555,555,0.16909567033178602,0.459065812231541,0.36905290787241496,0.6780186273260871,0.461018627325989,5,3,1.11,1,555,0,555,555,0,0.368347338935574,3
3571,3571,DPA,1,2,13,5,294,573,573,0.17966097854631602,0.40015399767133897,0.37483813251254106,0.689368288702745,0.6993682887025079,3,3,3.51,0,573,0,573,0,0,0.4489795918367361,3
3573,3573,BCA,1,2,13,5,225,1120,1120,0.14987121237985998,0.499570707932866,0.38538311754821,1.0369560804723,1.0379560804725,5,3,12.49,0,1120,0,1120,0,0,0.3000000000000004,3
3584,3584,GPA,1,2,13,5,21,985,985,,,,,,4,3,7.98,0,985,0,985,0,0,,3
3585,3585,DCA,1,2,13,5,245,787,787,,,,,,5,3,0.19,0,787,0,787,0,0,,3
3590,3590,DGA,2,3,13,5,148,148,148,,,,,,5,1,0.0,1,148,0,148,148,0,,4
3593,3593,DBA,2,3,13,5,226,226,226,,,,,,2,1,0.05,1,226,0,226,226,0,,4
3594,3594,GPA,2,3,13,5,162,300,300,,,,,,3,1,7.98,0,300,0,300,0,0,,4
3598,3598,DBA,2,3,13,5,256,256,256,,,,,,3,2,0.05,1,256,0,256,256,0,,5
3599,3599,GCA,2,3,13,5,256,256,256,,,,,,4,1,0.0,0,256,0,256,256,0,,4
3603,3603,DTA,2,3,13,5,213,386,386,,,,,,2,1,1.44,0,386,0,386,0,0,,4
3609,3609,DPA,2,3,13,5,275,275,275,,,,,,3,1,3.51,0,275,0,275,275,0,,4
3615,3615,BDA,2,3,13,5,391,391,391,,,,,,3,1,23.66,1,391,0,391,391,0,,4
3616,3616,GDA,2,3,13,5,280,480,480,,,,,,4,1,8.06,1,480,0,480,0,0,,4
3617,3617,DTA,2,3,13,5,387,387,387,,,,,,5,2,1.44,0,387,0,387,387,0,,5
3620,3620,DCA,2,3,13,5,326,326,326,,,,,,2,2,0.19,0,326,0,326,326,0,,5
